Course Code,Prefix,Course ID,Course Title,Section,Seat Limit,Seat Used,Seat Left,Start Time,End Time,Instructor Name,Remark,Session,Day Number,Day,Midterm Date,Midterm Start,Midterm End,Final Date,Final Start,Final End,Order
AE1100,AE,178,CORE FLYING : SINGLE-ENGINE FLIGHT - GROUND,641,20,0,18,9:00:00,12:00:00,"- ",***No Exam***,Morning,2,Monday,-,-,-,-,-,-,1
AE1101,AE,179,THEORY OF SINGLE-ENGINE FLIGHT,641,20,0,20,9:00:00,12:00:00,"- ",***No Exam***,Morning,2,Monday,-,-,-,-,-,-,2
AE1200,AE,180,CORE FLYING : SINGLE-ENGINE FLIGHT - FLIGHT,641,20,0,18,12:00:00,15:00:00,"- ",***No Exam***,Afternoon,2,Monday,-,-,-,-,-,-,3
AE1910,AE,181,PROBLEM-BASED TRAINING IN AIRCRAFT MAINTENANCE I,641,20,0,15,13:30:00,16:30:00,RAPEE UJJIN,***No Exam***,Afternoon,7,Saturday,-,-,-,-,-,-,4
AE1920,AE,183,PROBLEM-BASED TRAINING IN AIRCRAFT MAINTENANCE III,641,20,0,19,16:30:00,19:30:00,"- ",***No Exam***,Afternoon,6,Friday,-,-,-,-,-,-,5
AE2100,AE,184,BASIC FLYING : SINGLE/MULTI-ENGINE - GROUND,401,20,0,20,12:00:00,15:00:00,"- ",***No Exam***,Afternoon,2,Monday,-,-,-,-,-,-,6
AE2200,AE,185,BASIC FLYING : SINGLE/MULTI-ENGINE - FLIGHT I,641,20,0,20,9:00:00,12:00:00,"- ",***No Exam***,Morning,3,Tuesday,-,-,-,-,-,-,7
AE2201,AE,186,BASIC FLYING : SINGLE/MULTI-ENGINE - FLIGHT II,641,20,0,20,12:00:00,15:00:00,"- ",***No Exam***,Afternoon,3,Tuesday,-,-,-,-,-,-,8
AE2202,AE,187,BASIC FLYING : MULTI-ENGINE OPERATIONS,641,20,0,20,9:00:00,12:00:00,"- ",***No Exam***,Morning,4,Wednesday,-,-,-,-,-,-,9
AE2203,AE,188,BASIC FLYING : OPERATIONAL PROCEDURES,641,20,0,20,9:00:00,12:00:00,"- ",***No Exam***,Morning,5,Thursday,-,-,-,-,-,-,10
AE2300,AE,189,BASIC FLYING : FLIGHT COMMUNICATIONS,641,20,0,20,9:00:00,12:00:00,"- ",***No Exam***,Morning,6,Friday,-,-,-,-,-,-,11
AE2401,AE,190,BASIC FLYING : AIR LAW,641,20,0,20,12:00:00,15:00:00,"- ",***No Exam***,Afternoon,5,Thursday,-,-,-,-,-,-,12
AE2700,AE,194,FUNDAMENTAL AIRCRAFT : PROPULSION THEORY,641,20,4,16,10:00:00,12:00:00,RAPEE UJJIN,,Morning,7,Saturday,2025-08-01T00:00:00,15:00:00,17:00:00,2025-10-06T00:00:00,13:00:00,16:00:00,13
AE2901,AE,200,FUNDAMENTAL AIRCRAFT : PRACTICAL VERIFICATION,641,0,0,0,0:00:00,0:00:00,"- ",,Morning,1,Sunday,-,-,-,-,-,-,14
AE3300,AE,203,INTERMEDIATE FLYING : ROUTE MANUAL AND PILOT APPLICATIONS,641,20,0,18,12:00:00,15:00:00,"- ",***No Exam***,Afternoon,2,Monday,-,-,-,-,-,-,15
AE3301,AE,204,INTERMEDIATE FLYING : GENERAL NAVIGATION,641,20,0,18,9:00:00,12:00:00,"- ",***No Exam***,Morning,4,Wednesday,-,-,-,-,-,-,16
AE3302,AE,205,INTERMEDIATE FLYING : FLIGHT PERFORMANCE AND PLANNING I,641,20,0,18,9:00:00,12:00:00,"- ",***No Exam***,Morning,3,Tuesday,-,-,-,-,-,-,17
