Year,Semester,CourseCode,CourseTitle,Prerequisite,Or,,,,,,,,,,,,,,,
1,1,ELE1001,Communicative English I,,,,,,,,,,,,,,,,,
1,1,BG1221,Computer Programming,,,,,,,,,,,,,,,,,
1,1,ME1114,Engineering Workshop,,,,,,,,,,,,,,,,,
1,1,BG1204,Calculus I,,,,,,,,,,,,,,,,,
1,1,BG1211,Physics I,,,,,,,,,,,,,,,,,
1,1,BG1212,Physics Lab I,BG1211,,,,,,,,,,,,,,,,
1,1,BG2208,Discrete Mathematics,,,,,,,,,,,,,,,,,
1,1,GE Pool,Language Course,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,2,ELE1002,Communicative English II,ELE1001,,,,,,,,,,,,,,,,
1,2,CE2102,Data Structures and Algorithms,BG1221,,,,,,,,,,,,,,,,
1,2,CE2703,Intro to Computer Systems,,,,,,,,,,,,,,,,,
1,2,BG1205,Calculus II,BG1204,,,,,,,,,,,,,,,,
1,2,BG1213,Physics II,BG1211,,,,,,,,,,,,,,,,
1,2,BG1214,Physics Lab II,BG1213,,,,,,,,,,,,,,,,
1,2,ME1113,Engineering Drawing,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,1,ELE2000,Academic English,ELE1002,,,,,,,,,,,,,,,,
2,1,CE2103,Object Oriented Programming,CE2102,,,,,,,,,,,,,,,,
2,1,EE2201,Electric Circuits,,,,,,,,,,,,,,,,,
2,1,EE2202,Electric Circuits Lab,EE2201,,,,,,,,,,,,,,,,
2,1,BG2207,Engineering Mathematics,BG1205,,,,,,,,,,,,,,,,
2,1,EE2605,Engineering Electronics,,,,,,,,,,,,,,,,,
2,1,EE2606,Engineering Electronics Lab,EE2605,,,,,,,,,,,,,,,,
2,1,GE Pool,Social Science Course,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,2,ELE2001,Advanced Academic English,ELE2000,,,,,,,,,,,,,,,,
2,2,CE2104,Software Design and Develop.,CE2103,,,,,,,,,,,,,,,,
2,2,CE2704,Digital Logic Design,,,,,,,,,,,,,,,,,
2,2,CE2705,Digital Logic Design Lab,CE2704,,,,,,,,,,,,,,,,
2,2,BG2212,Applied Statistics,,,,,,,,,,,,,,,,,
2,2,GE Pool,Science and Math Course,,,,,,,,,,,,,,,,,
2,2,GE Pool,Science and Math Course,,,,,,,,,,,,,,,,,
2,2,GE Pool,Social Science Course,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,1,CE2709,Computer Architecture,CE2704,,,,,,,,,,,,,,,,
3,1,CE3103,Computer Operating Systems,CE2703,,,,,,,,,,,,,,,,
3,1,CE3109,Database Management Systems,,,,,,,,,,,,,,,,,
3,1,CE4221,Network Applications Technology,,,,,,,,,,,,,,,,,
3,1,EE3705,Microprocessor / Controller,,,,,,,,,,,,,,,,,
3,1,GE Pool,Science and Math Course,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,2,CE3104,Software Engineering,,,,,,,,,,,,,,,,,
3,2,CE4224,Telecommunication Network Lab,,,,,,,,,,,,,,,,,
3,2,CE3222,Computer Networks,,,,,,,,,,,,,,,,,
3,2,GE Pool,Humanity Course,,,,,,,,,,,,,,,,,
3,2,GE2202,Ethics,,,,,,,,,,,,,,,,,
3,2,,Major Elective,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,1,CE4225,Computer Network Security,,,,,,,,,,,,,,,,,
4,1,CE4715,Artificial Intelligence,,,,,,,,,,,,,,,,,
4,1,CE4901,Project I,,,,,,,,,,,,,,,,,
4,1,,Major Elective,,,,,,,,,,,,,,,,,
4,1,,Major Elective,,,,,,,,,,,,,,,,,
4,1,,Free Elective,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,2,CE4902,Project II,CE4901,,,,,,,,,,,,,,,,
4,2,,Major Elective,,,,,,,,,,,,,,,,,
4,2,,Major Elective,,,,,,,,,,,,,,,,,
4,2,,Major Elective,,,,,,,,,,,,,,,,,
4,2,,Free Elective,,,,,,,,,,,,,,,,,
