Year,Semester,CourseCode,CourseTitle,Prerequisite,Or
1,1,"ELE1001","Communicative English I","",""
1,1,"BBA1001","Business Exploration","",""
1,1,"CSX3001","Fundamentals of Computer Programming","",""
1,1,"ITX3002","Introduction to Information Technology","",""
1,1,"MA1200","Mathematics for Business","",""
1,2,"ELE1002","Communicative English II","ELE1001",""
1,2,"CSX2003","Principles of Statistics","",""
1,2,"CSX3002","Object-Oriented Concepts and Programming","CSX3001",""
1,2,"IBE1122","Accounting for Entrepreneurs","",""
1,2,"ITX2005","Design Thinking","",""
,,,,,
2,1,"ELE2000","Academic English","ELE1002",""
2,1,"CSX2006","Mathematics and Statistics for Data Science","",""
2,1,"CSX2008","Mathematics Foundation for Computer Science","",""
2,1,"CSX3003","Data Structures and Algorithms","CSX3002",""
2,1,"CSX3005","Computer Networks","",""
2,1,"ITX2007","Data Science","",""
2,2,"ELE2001","Advanced Academic English","ELE2000",""
2,2,"GE1302","Ecology and Sustainability","",""
2,2,"CSX2009","Cloud Computing","",""
2,2,"CSX3004","Programming Languages","CSX3002",""
2,2,"CSX3006","Database Systems","CSX3001",""
2,2,"","Major Elective Course","",""
,,,,,
3,1,"GE1403","Communication in Thai","","or"
3,1,"GE1408","Thai Usage","","or"
3,1,"GE1409","Thai Language for intercultural communication","","or"
3,1,"CSX3007","Computer Architecture","",""
3,1,"CSX3008","Operating Systems","",""
3,1,"","Major Elective Course","",""
3,1,"","Major Elective Course","",""
3,1,"","Free Elective Course","",""
3,2,"GE2102","Human Heritage and Globalization","",""
3,2,"CSX3009","Algorithm Design","CSX3003",""
3,2,"CSX3010","Senior Project I","",""
3,2,"","Major Elective Course","",""
3,2,"","Major Elective Course","",""
3,2,"","Free Elective Course","",""
,,,,,
4,1,"GE2202","Ethics","",""
4,1,"","Major Elective Course","",""
4,1,"","Major Elective Course","",""
4,1,"","Major Elective Course","",""
4,1,"","Major Elective Course","",""
4,1,"","Free Elective Course","",""
4,2,"CSX3011","Senior Project II","",""
4,2,"","Major Elective Course","",""
4,2,"","Major Elective Course","",""
4,2,"","Free Elective Course","",""
